Wijken en buurten;Regioaanduiding/Gemeentenaam (naam);Regioaanduiding/Soort regio (omschrijving);Regioaanduiding/Codering (code);Regioaanduiding/Indelingswijziging wijken en buurten (code);Bevolking/Aantal inwoners (aantal);Bevolking/Geslacht/Mannen (aantal);Bevolking/Geslacht/Vrouwen (aantal);Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal);Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal);Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal);Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal);Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal);Bevolking/Burgerlijke staat/Ongehuwd (aantal);Bevolking/Burgerlijke staat/Gehuwd (aantal);Bevolking/Burgerlijke staat/Gescheiden (aantal);Bevolking/Burgerlijke staat/Verweduwd (aantal);Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal);Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal);Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal);Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal);Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal);Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal);Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal);Bevolking/Geboorte en sterfte/Geboorte totaal (aantal);Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners);Bevolking/Geboorte en sterfte/Sterfte totaal (aantal);Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners);Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal);Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal);Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal);Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal);Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal);Bevolking/Bevolkingsdichtheid (aantal inwoners per km²);Wonen/Woningvoorraad (aantal);Wonen/Gemiddelde woningwaarde (x 1 000 euro);Wonen/Woningen naar type/Percentage eengezinswoning (%);Wonen/Woningen naar type/Percentage meergezinswoning (%);Wonen/Woningen naar bewoning/Percentage bewoond (%);Wonen/Woningen naar bewoning/Percentage onbewoond (%);Wonen/Woningen naar eigendom/Koopwoningen (%);Wonen/Woningen naar eigendom/Huurwoningen/Huurwoningen totaal (%);Wonen/Woningen naar eigendom/Huurwoningen/In bezit woningcorporatie (%);Wonen/Woningen naar eigendom/Huurwoningen/In bezit overige verhuurders (%);Wonen/Woningen naar eigendom/Eigendom onbekend (%);Wonen/Woningen naar bouwjaar/Bouwjaar voor 2000 (%);Wonen/Woningen naar bouwjaar/Bouwjaar vanaf 2000 (%);Energie/Gemiddeld elektriciteitsverbruik/Gemiddeld elektriciteitsverbruik totaal (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Appartement (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Tussenwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Hoekwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Twee-onder-één-kap-woning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Vrijstaande woning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar eigendom/Huurwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar eigendom/Eigen woning (kWh);Energie/Gemiddeld aardgasverbruik/Gemiddeld aardgasverbruik totaal (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Appartement (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Tussenwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Hoekwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Twee-onder-één-kap-woning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Vrijstaande woning (m³);Energie/Gemiddeld aardgasverbruik/Naar eigendom/Huurwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar eigendom/Eigen woning (m³);Energie/Gemiddeld aardgasverbruik/Percentage woningen met stadsverwarming (%);Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal);Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro);Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro);Inkomen/Inkomen van personen/40% personen met laagste inkomen (%);Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%);Inkomen/Inkomen van personen/Actieven 15-75 jaar (%);Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%);Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%);Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%);Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%);"Sociale zekerheid/Personen per soort uitkering; Bijstand (aantal)";"Sociale zekerheid/Personen per soort uitkering; AO (aantal)";"Sociale zekerheid/Personen per soort uitkering; WW (aantal)";"Sociale zekerheid/Personen per soort uitkering; AOW (aantal)";Criminaliteit/Totaal diefstal uit woning/schuur/e.d. (per 1 000 inwoners);Criminaliteit/Vernieling, misdrijf tegen openbare orde (per 1 000 inwoners);Criminaliteit/Gewelds- en seksuele misdrijven (per 1 000 inwoners);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen totaal (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/A Landbouw, bosbouw en visserij (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/B-F Nijverheid en energie (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/G+I Handel en horeca (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/H+J Vervoer, informatie en communicatie (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/K-L Financiële diensten, onroerend goed (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/M-N Zakelijke dienstverlening (aantal);Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/R-U Cultuur, recreatie, overige diensten (aantal);Motorvoertuigen/Personenauto's/Personenauto's totaal (aantal);"Motorvoertuigen/Personenauto's/Personenauto's; brandstoftype/Personenauto's; brandstof benzine (aantal)";"Motorvoertuigen/Personenauto's/Personenauto's; brandstoftype/Personenauto's; overige brandstof (aantal)";Motorvoertuigen/Personenauto's/Personenauto's per huishouden (per huishouden);Motorvoertuigen/Personenauto's/Personenauto's naar oppervlakte (per km²);Motorvoertuigen/Motorfietsen (aantal);Nabijheid voorzieningen/Afstand tot huisartsenpraktijk (km);Nabijheid voorzieningen/Afstand tot grote supermarkt (km);Nabijheid voorzieningen/Afstand tot kinderdagverblijf (km);Nabijheid voorzieningen/Basisonderwijs/Afstand tot school (km);Nabijheid voorzieningen/Basisonderwijs/Scholen binnen 3 km (aantal);Oppervlakte/Oppervlakte totaal (ha);Oppervlakte/Oppervlakte land (ha);Oppervlakte/Oppervlakte water (ha);Postcode/Meest voorkomende postcode (code);Postcode/Dekkingspercentage (code);Stedelijkheid/Mate van stedelijkheid (code);Stedelijkheid/Omgevingsadressendichtheid (per km²)
's-Gravenhage;'s-Gravenhage                           ;Gemeente  ;GM0518    ;.;537833;266778;271055;92532;66099;162025;139157;78020;304766;162020;51430;19617;99877;193599;31865;13518;46068;40535;61613;       .;       .;       .;       .;263371;125380;55800;82191;     2.0;6523;259264;241;21;79;92;8;43;57;31;25;1;83;17;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;25280;23100;7740;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;196505;159375;37125;     0.7;2383;10740;       .;       .;       .;       .;       .;9813;8245;1568;         .;       .;1;4892
Wijk 01 Oostduinen;'s-Gravenhage                           ;Wijk      ;WK051801  ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;       .;       .;       .;       .;0;0;0;0;       .;       .;1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;0;0;0;       .;       .;0;       .;       .;       .;       .;       .;318;308;10;         .;       .;4;680
Oostduinen;'s-Gravenhage                           ;Buurt     ;BU05180170;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;       .;       .;       .;       .;0;0;0;0;       .;       .;1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;0;0;0;       .;       .;0;       .;       .;       .;       .;       .;318;308;10;2597;5;4;680
Wijk 02 Belgisch Park;'s-Gravenhage                           ;Wijk      ;WK051802  ;1;8245;4035;4210;1230;1210;1780;2350;1680;4415;2755;700;380;1990;1075;60;80;160;50;720;       .;       .;       .;       .;4190;2080;1010;1110;     1.9;7783;4125;370;20;80;87;13;60;38;13;25;2;99;1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;130;220;100;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;3135;2620;515;     0.7;2961;220;       .;       .;       .;       .;       .;106;106;0;         .;       .;2;2474
Belgisch Park;'s-Gravenhage                           ;Buurt     ;BU05180271;1;8245;4035;4210;1230;1210;1780;2350;1680;4415;2755;700;380;1990;1075;60;80;160;50;720;       .;       .;       .;       .;4190;2080;1010;1110;     1.9;7783;4125;370;20;80;87;13;60;38;13;25;2;99;1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;130;220;100;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;3135;2620;515;     0.7;2961;220;       .;       .;       .;       .;       .;106;106;0;2587;2;2;2474
Wijk 03 Westbroekpark en Duttendel;'s-Gravenhage                           ;Wijk      ;WK051803  ;1;2005;910;1095;240;180;235;525;825;740;855;205;215;540;175;5;20;20;0;135;       .;       .;       .;       .;950;425;305;225;     2.0;1170;1217;704;31;69;79;21;59;38;5;34;3;91;9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;10;40;10;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;1040;890;155;     1.1;607;50;       .;       .;       .;       .;       .;179;172;8;         .;       .;2;1670
Westbroekpark;'s-Gravenhage                           ;Buurt     ;BU05180373;1;930;420;505;95;85;100;210;440;320;415;90;110;250;85;0;5;10;0;65;       .;       .;       .;       .;475;235;160;85;     1.8;2252;600;684;21;79;75;25;58;38;9;29;4;83;17;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;10;20;0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;475;400;75;     1.0;1148;15;       .;       .;       .;       .;       .;46;41;5;2597;4;2;2386
Duttendel;'s-Gravenhage                           ;Buurt     ;BU05180374;1;1075;490;585;145;95;135;320;380;420;440;115;105;285;90;0;10;5;0;70;       .;       .;       .;       .;470;190;150;140;     2.1;827;617;724;41;59;83;17;60;38;0;38;1;99;1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;10;20;10;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;565;490;80;     1.2;435;35;       .;       .;       .;       .;       .;133;130;3;2597;1;3;1127
Wijk 04 Benoordenhout;'s-Gravenhage                           ;Wijk      ;WK051804  ;1;13855;6525;7330;2540;1125;3010;3485;3695;6425;5365;1045;1030;3895;1570;30;95;115;60;1265;       .;       .;       .;       .;6600;3010;1685;1910;     2.0;5166;7438;503;29;71;84;16;67;32;3;28;1;98;2;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;60;150;130;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;6725;5160;1565;     1.0;2507;210;       .;       .;       .;       .;       .;274;268;6;         .;       .;2;2070
Nassaubuurt;'s-Gravenhage                           ;Buurt     ;BU05180448;1;1610;775;830;300;145;420;410;335;785;675;100;55;495;185;5;5;15;5;150;       .;       .;       .;       .;750;315;215;230;     2.1;5692;752;628;45;55;88;12;65;33;1;32;3;99;1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;10;20;20;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;1525;730;795;     2.0;5384;55;       .;       .;       .;       .;       .;29;28;0;2596;1;1;3230
Uilennest;'s-Gravenhage                           ;Buurt     ;BU05180475;1;2105;980;1125;295;130;545;555;585;1025;730;205;150;600;300;15;10;25;25;225;       .;       .;       .;       .;1145;610;300;245;     1.8;7157;1247;351;15;85;87;13;76;23;0;23;1;96;4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;0;20;20;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;975;845;130;     0.8;3304;40;       .;       .;       .;       .;       .;30;29;1;2597;3;2;1947
